Experience,Qualifications,Work Type,Job Title,Role,skills,Responsibilities
2 to 9 Years,BCA,Part-Time,Registered Nurse,Charge Nurse,Nursing leadership Charge nurse responsibilities Team coordination,Supervise nursing staff and allocate patient assignments. Ensure compliance with nursing standards and protocols. Act as a resource for nursing-related issues.
4 to 11 Years,BA,Full-Time,Systems Engineer,Systems Integration Specialist,Systems integration Integration architecture Data mapping Middleware technologies API integration System testing Troubleshooting,"Integrate various software and hardware systems within an organization, ensuring seamless data flow and interoperability. Collaborate with software developers and IT teams on integration projects."
2 to 12 Years,M.Com,Part-Time,Financial Analyst,Budget Analyst,Budget planning Financial forecasting Excel proficiency Data analysis,"Develop and manage budgets, track financial performance, and prepare financial reports. Collaborate with department heads to create and monitor budget plans. Identify cost-saving opportunities."
4 to 15 Years,BCA,Contract,UX/UI Designer,Interaction Designer,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,"Work on interaction design, defining how users interact with digital products and ensuring a seamless user journey. Create wireframes and prototypes to illustrate interactions. Collaborate with developers to implement interaction designs."
0 to 15 Years,B.Com,Temporary,Account Executive,Key Account Executive,Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge,"Focus on strategic accounts, serving as the primary point of contact for key clients. Develop account plans and growth strategies. Ensure high levels of client satisfaction and retention."
5 to 12 Years,BA,Part-Time,Back-End Developer,API Developer,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",Design and implement APIs (Application Programming Interfaces) for data communication between different software systems. Ensure API security and compatibility. Document API usage and specifications.
0 to 15 Years,BA,Intern,Chemical Analyst,Quality Control Analyst,Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,Ensure the quality and consistency of chemical products and processes through testing and inspection. Identify non-conformities and deviations. Maintain quality control documentation.
1 to 10 Years,MBA,Part-Time,Systems Administrator,Database Administrator,"Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery","Administer and optimize databases, ensuring data availability and performance. Backup and restore databases. Implement database security and access controls."
2 to 15 Years,MBA,Temporary,UX Researcher,UX Strategist,User experience strategy User journey mapping Design thinking,Develop UX strategies and roadmaps based on user research and business goals. Collaborate with design and development teams to implement UX enhancements. Conduct usability assessments of existing products.
3 to 13 Years,PhD,Intern,Procurement Specialist,Procurement Manager,Procurement strategies Supplier management Negotiation Cost analysis Supply chain management,"Manage procurement processes, vendor relationships, and supplier negotiations. Develop procurement strategies and cost-saving initiatives. Ensure timely delivery of goods and services."
4 to 11 Years,PhD,Contract,Veterinarian,Exotic Animal Veterinarian,Exotic animal medicine Exotic animal diagnostics Specialized surgical skills Avian medicine Reptile care Amphibian care Exotic animal anesthesia Compassion and empathy Client communication Problem-solving Attention to detail,"Focus on the health and medical needs of exotic and non-traditional pets, including reptiles, birds, and exotic mammals. Provide specialized care and treatment for unique species. Educate exotic pet owners on proper care."
1 to 9 Years,BA,Full-Time,Account Manager,Client Relationship Manager,Client relationship management Customer service Communication skills,Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication.
3 to 15 Years,BBA,Intern,Research Scientist,Senior Researcher,"Research methodologies and data analysis Literature review and synthesis Statistical analysis software (e.g., SPSS, R) Research proposal development Strong communication and reporting skills","Plan and conduct scientific research projects, including experimental design and data analysis. Collaborate with cross-functional teams and provide technical expertise. Publish research findings in peer-reviewed journals."
0 to 14 Years,BA,Temporary,Technical Writer,Content Writer,Writing skills Content creation SEO knowledge Research skills Grammar and proofreading,"Write informative and engaging content for websites, blogs, and marketing materials. Conduct research and interviews to gather information. Tailor content to target audiences."
5 to 13 Years,PhD,Intern,Event Coordinator,Event Planner,Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail,"Plan and organize events, such as weddings, conferences, and parties. Coordinate logistics, vendors, and budgets. Ensure events run smoothly and meet client expectations."
2 to 14 Years,MCA,Part-Time,Chemical Engineer,Quality Control Engineer,"Quality control processes Quality assurance standards (e.g., ISO) Statistical analysis Inspection techniques Documenting quality issues Root cause analysis Communication with production teams Problem-solving Attention to detail Technical knowledge",Focus on product quality assurance and testing. Develop quality control procedures and standards. Investigate and resolve quality issues.
2 to 13 Years,MBA,Contract,Pediatrician,Pediatric Surgeon,Pediatric surgery Surgical procedures for children Operating room protocols Patient care Surgical techniques Pediatric anesthesia,"Perform surgical procedures on pediatric patients, including congenital abnormalities and injuries. Coordinate pre-operative and post-operative care. Ensure the well-being and recovery of young patients."
1 to 13 Years,BA,Contract,Network Security Specialist,Security Consultant,Security consulting Risk assessment Security audits Security policy development Penetration testing Client communication,Provide expert advice on security strategies and risk assessments. Conduct security assessments and vulnerability testing. Develop security policies and procedures.
5 to 8 Years,BCA,Temporary,SEO Specialist,Technical SEO Specialist,Technical SEO audits Website crawl analysis Schema markup XML sitemaps Canonicalization,"Identify and resolve technical SEO issues, such as crawl errors, website speed, and mobile-friendliness. Implement schema markup and structured data. Ensure website indexing and sitemap accuracy."
3 to 12 Years,B.Com,Temporary,Data Engineer,ETL Developer,"ETL (Extract, Transform, Load) processes Data integration SQL and scripting languages","Extract, transform, and load (ETL) data from various sources into data warehouses. Create ETL workflows and data pipelines. Perform data validation and quality checks."
1 to 14 Years,M.Tech,Part-Time,Business Development Manager,Strategic Partnerships Manager,Partnership development Negotiation and collaboration Business development,Identify and establish strategic partnerships and alliances. Negotiate partnership agreements and terms. Collaborate with partners to achieve mutual business goals.
3 to 15 Years,BCA,Contract,Customer Support Specialist,Help Desk Analyst,Help desk support Ticket resolution IT troubleshooting Customer service skills Technical knowledge Documentation and knowledge base maintenance Communication and interpersonal skills,"Respond to help desk tickets, assist users, and escalate issues as needed to ensure timely resolution. Document and track support requests and resolutions. Provide training and guidance to end-users."
5 to 8 Years,B.Com,Part-Time,Product Manager,Technical Product Manager,Product management principles Technical background Agile development methodologies Product roadmap planning Market research and analysis Stakeholder communication Problem-solving skills,"Define product requirements, prioritize features, and collaborate with development teams to deliver technical products. Create product roadmaps and release plans. Gather and incorporate feedback from stakeholders."
0 to 10 Years,BBA,Contract,Occupational Therapist,Pediatric Occupational Therapist,Pediatric assessment and evaluation Occupational therapy techniques for children Developmental milestones Sensory integration therapy Pediatric psychology Family-centered care Individualized treatment plans Communication skills Pediatric healthcare knowledge,Provide occupational therapy services to children with developmental or sensory challenges. Develop individualized therapy plans. Collaborate with parents and caregivers.
1 to 9 Years,MBA,Part-Time,Business Analyst,IT Business Analyst,Business process analysis Requirement gathering Data analysis Communication skills,"Analyze business processes, gather requirements, and recommend solutions to enhance efficiency and productivity. Create business process models and documentation. Collaborate with IT teams to implement solutions."
2 to 13 Years,BCA,Full-Time,Mechanical Engineer,Mechanical Design Engineer,"Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping","Design mechanical systems, components, and products. Create 3D models and detailed engineering drawings. Perform structural and thermal analyses."
5 to 12 Years,MCA,Temporary,Speech Therapist,Adult Speech Therapist,Adult speech therapy Speech-language assessment Rehabilitation techniques Swallowing disorders Communication skills,"Focus on speech and language therapy for adults with communication challenges. Address speech disorders, aphasia, and swallowing difficulties. Customize therapy plans for individual needs."
5 to 12 Years,B.Tech,Temporary,Marketing Manager,Digital Marketing Manager,"Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo)","Develop and execute digital marketing strategies, including SEO, email marketing, and social media campaigns. Analyze digital marketing metrics and adjust strategies as needed. Manage digital marketing budgets."
0 to 12 Years,M.Tech,Intern,Procurement Coordinator,Purchasing Coordinator,Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations,"Coordinate purchasing activities, including vendor sourcing and negotiation. Create purchase orders and track deliveries. Ensure cost-effective procurement."
4 to 13 Years,MBA,Contract,IT Administrator,System Administrator,System administration Network administration Troubleshooting Security management Server maintenance Backup and recovery,Manage and maintain computer systems and servers. Install and configure software and hardware. Monitor system performance and security.
0 to 13 Years,BA,Temporary,Nurse Practitioner,Primary Care Nurse Practitioner,Nursing care Patient assessment Health promotion Medication administration Electronic health records (EHR),"Provide comprehensive primary healthcare services, including assessments, diagnoses, and treatments. Educate patients on health management and prevention. Prescribe medications and develop care plans."
1 to 15 Years,M.Tech,Temporary,Network Engineer,Network Administrator,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)","Manage and maintain computer networks, troubleshoot network issues, and ensure network availability and performance. Implement network security measures and policies. Monitor network traffic and optimize performance."
2 to 11 Years,MCA,Full-Time,Project Manager,IT Project Manager,Project management Team leadership Risk management Budgeting Communication skills,"Plan and oversee IT projects, manage project teams, and ensure successful project delivery within scope, time, and budget. Define project objectives and requirements. Monitor project progress and risks."
5 to 9 Years,BA,Part-Time,Account Manager,Sales Account Manager,Account management Sales strategy Negotiation and closing skills,Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts.
2 to 12 Years,B.Com,Intern,Software Engineer,Backend Developer,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)","Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend."
2 to 13 Years,M.Tech,Part-Time,IT Support Specialist,Desktop Support Technician,"Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills","Install, configure, and maintain desktop computers and peripherals. Perform hardware and software upgrades and repairs. Manage IT inventory and asset tracking."
0 to 15 Years,BA,Part-Time,Structural Engineer,Construction Engineer,Construction management Structural design AutoCAD proficiency Project management Site inspection,"Oversee construction projects, including structural aspects, budgeting, and scheduling. Collaborate with architects and contractors. Ensure compliance with building codes and safety standards."
5 to 14 Years,MCA,Intern,Procurement Manager,Procurement Analyst,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting.
5 to 14 Years,M.Tech,Temporary,Operations Manager,Quality Control Manager,"Quality control processes and methodologies Statistical process control (SPC) Root cause analysis and corrective action Quality management systems (e.g., ISO 9001) Compliance and regulatory knowledge",Establish and enforce quality control standards and procedures. Conduct quality audits and inspections. Collaborate with production teams to address quality issues and implement improvements.
5 to 11 Years,M.Tech,Temporary,HR Coordinator,Benefits Coordinator,Employee benefits administration Benefits compliance HRIS Benefits communication,"Administer employee benefits programs, respond to benefits inquiries, and process benefit changes. Collaborate with benefits providers and brokers. Educate employees on available benefits."
5 to 13 Years,MCA,Part-Time,Front-End Engineer,JavaScript Developer,"JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting","Develop interactive web applications using JavaScript frameworks and libraries, such as React or Angular. Debug and resolve frontend issues. Ensure cross-browser compatibility."
1 to 13 Years,B.Com,Intern,Physical Therapist,Orthopedic Physical Therapist,Orthopedic assessment and treatment Rehabilitation exercises Patient education,Specialize in treating musculoskeletal injuries and conditions. Conduct evaluations and develop personalized treatment plans. Provide manual therapy and exercise programs.
5 to 8 Years,MCA,Intern,Social Media Coordinator,Content Creator,"Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity","Create compelling and shareable content for social media platforms, including text, images, and videos. Collaborate with designers and photographers for visuals. Engage with the audience and respond to comments."
3 to 10 Years,BA,Temporary,Architect,Architectural Designer,"Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations.
5 to 8 Years,MBA,Temporary,HR Generalist,HR Coordinator,Human resources Recruitment Employee onboarding HRIS (HR Information Systems) Record keeping Communication skills,"Assist with recruitment activities, including posting job openings, coordinating interviews, and managing applicant data. Ensure a positive candidate experience. Maintain recruitment records and metrics."
5 to 15 Years,BBA,Contract,QA Analyst,Automation Test Engineer,"Test automation Test framework development Continuous integration Scripting languages (e.g., Python) Test reporting Code review",Develop and maintain automated test scripts using testing tools like Selenium or Appium. Execute automated tests and analyze results. Continuously improve test automation frameworks.
1 to 10 Years,B.Com,Contract,IT Manager,IT Director,Strategic IT planning Leadership and management Budgeting and financial management IT governance and compliance Vendor management Cybersecurity and risk management Project management Cloud computing Network infrastructure Enterprise software systems,"Provide strategic leadership for IT departments, setting goals and priorities. Oversee IT budgets and resource allocation. Align IT initiatives with overall business objectives."
5 to 12 Years,BCA,Full-Time,Account Director,Business Development Director,Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills,Develop and execute business development strategies to acquire new clients and grow accounts. Identify market opportunities and trends. Lead sales pitches and presentations.
4 to 15 Years,PhD,Temporary,Systems Analyst,IT Analyst,IT systems analysis Troubleshooting IT support and documentation,"Analyze business systems, processes, and requirements to identify IT solutions. Develop system specifications and requirements documents. Collaborate with IT teams to implement solutions."
2 to 15 Years,MCA,Intern,Psychologist,School Psychologist,School psychology Special education knowledge Assessment and testing Individualized education plans Collaboration skills,"Work in educational settings to support students emotional and psychological well-being. Conduct assessments, provide counseling, and collaborate with educators. Assist in the development of individualized education plans."
0 to 10 Years,BA,Temporary,UX Researcher,Usability Analyst,Usability evaluation User interface assessment Usability testing tools and techniques,Focus on usability testing of digital products and websites. Create test plans and scenarios. Gather and analyze usability data to identify areas for improvement.
2 to 9 Years,M.Com,Part-Time,Procurement Manager,Procurement Analyst,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting.
4 to 15 Years,M.Com,Part-Time,Copywriter,SEO Copywriter,"SEO (Search Engine Optimization) Keyword research SEO-friendly content On-page optimization Meta tags SEO tools (e.g., SEMrush)","Write web content optimized for search engines (SEO), including blog posts, product descriptions, and meta tags. Conduct keyword research and on-page SEO optimization. Monitor SEO rankings and traffic."
1 to 10 Years,BA,Part-Time,Database Administrator,Database Developer,"Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge","Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures."
4 to 15 Years,BA,Temporary,Marketing Manager,Digital Marketing Manager,"Digital marketing strategies SEO and SEM Social media marketing Email marketing campaigns Content marketing Web analytics (e.g., Google Analytics) Marketing automation tools (e.g., HubSpot, Marketo)","Develop and execute digital marketing strategies, including SEO, email marketing, and social media campaigns. Analyze digital marketing metrics and adjust strategies as needed. Manage digital marketing budgets."
1 to 11 Years,BBA,Temporary,Accountant,Forensic Accountant,Forensic accounting Fraud detection Legal knowledge Investigative skills,"Investigate financial discrepancies, analyze financial data for fraud, and provide expert testimony in legal cases. Perform forensic audits and fraud detection. Collaborate with law enforcement and legal teams."
4 to 13 Years,B.Tech,Full-Time,Marketing Director,Marketing Communications Director,Marketing communication Public relations Content strategy Crisis management Media relations,"Lead marketing communications efforts, including public relations and content marketing. Create marketing collateral and press releases. Manage media relations and crisis communications."
4 to 14 Years,PhD,Contract,Software Engineer,DevOps Engineer,"Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills","Configure and maintain continuous integration and deployment (CI/CD) pipelines, ensuring efficient software delivery. Automate and streamline development and deployment processes. Monitor and troubleshoot system issues."
5 to 13 Years,MBA,Contract,Wedding Planner,Wedding Consultant,Wedding planning Vendor coordination Event management,Offer expert advice and guidance to couples planning their weddings. Assist with wedding theme and design selection. Coordinate and negotiate with vendors.
1 to 11 Years,BBA,Contract,Account Manager,Client Relationship Manager,Client relationship management Customer service Communication skills,Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication.
0 to 11 Years,BCA,Full-Time,Customer Success Manager,Customer Support Specialist,Customer service Problem-solving Communication skills Ticketing system usage Product knowledge,"Provide responsive and effective customer support, addressing inquiries and resolving issues. Escalate and track customer cases as needed. Document customer interactions and feedback."
3 to 12 Years,BA,Temporary,Network Technician,Network Security Specialist,Network security Cybersecurity Intrusion detection Security analysis Firewall management,"Focus on network security, implementing measures to protect against cyber threats. Monitor network traffic for anomalies and security breaches. Conduct security audits and recommend improvements."
4 to 11 Years,PhD,Part-Time,Investment Banker,Mergers and Acquisitions Advisor,Mergers and acquisitions (M&A) expertise Due diligence Valuation techniques,"Advise on mergers, acquisitions, and corporate finance transactions. Perform due diligence and financial analysis. Negotiate and structure deals."
4 to 11 Years,M.Com,Temporary,Front-End Developer,Accessibility Developer,"Web accessibility standards (e.g., WCAG) Assistive technologies Accessibility testing tools HTML and CSS for accessibility ARIA (Accessible Rich Internet Applications) User experience (UX) for accessibility Usability testing with individuals with disabilities Collaboration Attention to detail","Ensure web accessibility for all users, including those with disabilities. Implement WCAG guidelines and accessibility features. Conduct accessibility testing and remediation."
5 to 12 Years,BA,Part-Time,Technical Writer,Documentation Specialist,Document management Recordkeeping Attention to detail Data entry Organizational skills,"Create technical documentation, manuals, and user guides for software, hardware, or products. Collaborate with subject matter experts and engineers. Ensure documentation accuracy and clarity."
1 to 15 Years,BBA,Intern,Software Architect,Enterprise Architect,Enterprise architecture Business strategy alignment IT governance and compliance,"Focus on aligning software solutions with overall enterprise architecture. Ensure scalability, security, and interoperability. Evaluate and recommend technology stacks and tools."
2 to 10 Years,BBA,Full-Time,Supply Chain Manager,Logistics Manager,Supply chain management Inventory control Transportation logistics Vendor relations Team leadership and management,"Manage the transportation and distribution of goods. Optimize supply chain efficiency, reduce costs, and minimize delivery times. Monitor inventory levels and warehouse operations."
1 to 11 Years,B.Com,Part-Time,Software Engineer,Backend Developer,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)","Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend."
5 to 15 Years,B.Tech,Part-Time,Web Developer,Full-Stack Developer,Frontend and backend development Database integration Problem-solving API knowledge,"Work on both frontend and backend aspects, creating full-stack solutions for web development. Integrate third-party APIs and services. Troubleshoot and debug web applications."
1 to 14 Years,MCA,Contract,Veterinarian,Equine Veterinarian,Equine veterinary medicine Horse anatomy and physiology Lameness evaluation Equine surgery Dentistry for horses Emergency equine care Equine reproductive health Compassion and empathy Client communication Problem-solving Attention to detail,"Specialize in the care and treatment of horses and other equine species. Perform health assessments, dental care, and surgical procedures for horses. Advise horse owners on nutrition and wellness."
1 to 11 Years,MCA,Part-Time,Brand Manager,Brand Marketing Analyst,"Marketing analytics Data analysis tools (e.g., Google Analytics, Adobe Analytics) Brand performance measurement Consumer behavior analysis Campaign effectiveness evaluation",Analyze brand performance metrics and consumer behavior. Track marketing campaigns and assess their impact on brand perception. Provide insights and recommendations for brand improvement.
4 to 15 Years,PhD,Intern,IT Support Specialist,Help Desk Support Specialist,Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,"Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Document and track support requests and resolutions. Provide training and guidance to end-users."
4 to 11 Years,MCA,Intern,Marketing Coordinator,Event Marketing Coordinator,Event planning and management Budgeting and financial management Vendor and sponsor relations Promotion and publicity Event logistics and coordination skills,Plan and coordinate marketing events and promotions. Execute event marketing campaigns and activations. Collaborate with vendors and sponsors.
4 to 8 Years,M.Tech,Contract,IT Manager,IT Director,Strategic IT planning Leadership and management Budgeting and financial management IT governance and compliance Vendor management Cybersecurity and risk management Project management Cloud computing Network infrastructure Enterprise software systems,"Provide strategic leadership for IT departments, setting goals and priorities. Oversee IT budgets and resource allocation. Align IT initiatives with overall business objectives."
2 to 14 Years,B.Tech,Contract,Investment Banker,Financial Analyst,Financial analysis Data analysis Financial modeling,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Create financial models and projections. Collaborate with clients on investment strategies."
5 to 14 Years,MBA,Full-Time,Procurement Specialist,Procurement Manager,Procurement strategies Supplier management Negotiation Cost analysis Supply chain management,"Manage procurement processes, vendor relationships, and supplier negotiations. Develop procurement strategies and cost-saving initiatives. Ensure timely delivery of goods and services."
3 to 15 Years,B.Com,Full-Time,Software Engineer,Backend Developer,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)","Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend."
3 to 8 Years,B.Tech,Contract,Event Planner,Corporate Event Planner,Corporate event planning Corporate branding Corporate communication Audiovisual equipment Crisis management,"Organize corporate events, conferences, and seminars. Develop event marketing strategies and manage event budgets. Coordinate speakers, sponsors, and attendee registration."
5 to 11 Years,BCA,Part-Time,Account Executive,Sales Account Executive,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Identify and pursue sales opportunities with new and existing clients. Build and maintain client relationships. Meet or exceed sales targets and quotas.
1 to 12 Years,M.Com,Intern,Nurse Practitioner,Family Nurse Practitioner,Family medicine Health assessment Pediatric care Chronic disease management Patient education,"Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness."
3 to 12 Years,PhD,Temporary,Aerospace Engineer,Systems Engineer,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management,Work on aerospace systems integration and optimization. Address system safety and reliability. Collaborate with multidisciplinary teams.
3 to 11 Years,BCA,Contract,SEM Specialist,SEM Analyst,Search engine marketing (SEM) Google Ads Bing Ads Keyword analysis Ad performance analysis SEM strategy development Bid management,Analyze SEM data and trends to optimize campaigns and ad spend. Generate reports and insights to improve SEM strategies. Stay up-to-date with SEM industry changes and best practices.
3 to 10 Years,PhD,Part-Time,Software Engineer,Backend Developer,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)","Develop server-side logic and databases using programming languages like Java, Python, or Node.js. Ensure data security and integrity. Implement APIs for seamless communication between frontend and backend."
1 to 9 Years,M.Tech,Temporary,Investment Banker,Mergers and Acquisitions Advisor,Mergers and acquisitions (M&A) expertise Due diligence Valuation techniques,"Advise on mergers, acquisitions, and corporate finance transactions. Perform due diligence and financial analysis. Negotiate and structure deals."
0 to 15 Years,BBA,Contract,Public Relations Specialist,Media Relations Specialist,Media relations Press releases Media outreach Crisis communication Public relations strategies,Manage relationships with media outlets and journalists. Draft press releases and media pitches. Coordinate interviews and media coverage.
5 to 13 Years,PhD,Contract,Database Administrator,Database Developer,"Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge","Design and implement database systems, tables, and structures. Develop and optimize SQL queries and scripts. Ensure data security, integrity, and backup procedures."
4 to 14 Years,PhD,Part-Time,Financial Advisor,Investment Advisor,Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance,Provide investment advice and portfolio management services. Assess clients financial goals and risk tolerance. Monitor market trends and recommend investment strategies.
1 to 14 Years,PhD,Intern,Mechanical Engineer,Manufacturing Engineer,Manufacturing processes knowledge CAD/CAM software proficiency Lean manufacturing principles Quality control and assurance Six Sigma certification,Improve manufacturing processes and production efficiency. Collaborate with production teams to implement lean manufacturing principles. Optimize manufacturing workflows and quality control.
0 to 15 Years,BCA,Full-Time,Software Tester,Automation Tester,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",Implement and maintain test automation frameworks. Write automated test scripts for regression testing. Analyze test results and provide feedback for continuous improvement.
2 to 9 Years,B.Com,Contract,Paralegal,Real Estate Paralegal,Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills,"Specialize in real estate transactions, including title searches, closings, and document preparation. Research property records and zoning regulations. Coordinate real estate transactions."
2 to 9 Years,PhD,Full-Time,Supply Chain Manager,Demand Planner,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools.
4 to 13 Years,MBA,Intern,Customer Support Specialist,Technical Support Specialist,"Technical troubleshooting Customer support tools (e.g., Zendesk, Freshdesk) Communication skills Problem-solving and critical thinking Ticket management Knowledge base creation","Provide technical assistance to customers, troubleshoot issues, and resolve inquiries through various communication channels. Maintain accurate records of customer interactions and solutions. Collaborate with other support teams for complex issues."
4 to 10 Years,B.Com,Contract,Data Analyst,Data Scientist,"Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Apply machine learning algorithms and statistical techniques to extract insights from large datasets. Develop predictive models. Conduct data experiments and A/B testing.
4 to 10 Years,BBA,Part-Time,Speech Therapist,Pediatric Speech Therapist,Pediatric speech therapy Speech-language assessment Individualized treatment plans Child development Communication skills,"Assess and treat speech and language disorders in children. Provide therapy for articulation, language development, and communication skills. Collaborate with parents and educators."
4 to 8 Years,B.Com,Full-Time,Customer Service Representative,Call Center Agent,Customer service Call center operations Problem-solving skills,Handle incoming phone calls and provide information or assistance. Follow call scripts and procedures. Document and report call details.
2 to 9 Years,PhD,Contract,Procurement Manager,Supplier Diversity Manager,Supplier diversity programs Diversity and inclusion initiatives Supplier assessment and certification Data collection and reporting Vendor outreach and engagement Strategic planning Communication skills Relationship building Attention to diversity and inclusion principles,Promote supplier diversity initiatives and inclusion. Identify and onboard diverse suppliers. Monitor compliance with diversity goals and regulations.
5 to 10 Years,M.Tech,Full-Time,Registered Nurse,Charge Nurse,Nursing leadership Charge nurse responsibilities Team coordination,Supervise nursing staff and allocate patient assignments. Ensure compliance with nursing standards and protocols. Act as a resource for nursing-related issues.
5 to 10 Years,PhD,Temporary,Substance Abuse Counselor,Family Counselor,Family counseling Marriage and family therapy Conflict resolution skills,Work with the families of individuals facing substance abuse challenges. Provide education and therapy to improve family dynamics and support networks. Collaborate with treatment teams.
2 to 10 Years,PhD,Full-Time,Software Engineer,DevOps Engineer,"Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills","Configure and maintain continuous integration and deployment (CI/CD) pipelines, ensuring efficient software delivery. Automate and streamline development and deployment processes. Monitor and troubleshoot system issues."
2 to 11 Years,B.Tech,Intern,Network Administrator,Network Security Analyst,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,"Manage and secure computer networks, including firewalls and intrusion detection systems. Monitor network traffic for security threats. Implement security policies and procedures."
0 to 10 Years,M.Com,Temporary,Financial Analyst,Investment Analyst,Financial analysis Investment evaluation Portfolio management Data analysis,"Analyze financial data, research investment opportunities, and provide recommendations for investment decisions. Monitor financial markets and economic trends. Prepare investment reports and presentations."
